Elective Type,Course Name,Lowest CGPA (Cutoff),Highest CGPA,Number of Students
Open Elective (OE),AAE 4311 : OPEN ELECTIVE - INTRODUCTION TO AEROSPACE ENGINEERING,6.75,8.98,70
Open Elective (OE),AAE 4313 : Introduction to Automobile Engineering,6.33,9.07,70
Open Elective (OE),BME 4315 : OPEN ELECTIVE - INTRODUCTION TO NANOTECHNOLOGY AND CHARACTERIZATION TECHNIQUES,4.98,8.71,70
Open Elective (OE),CHE 4311 : Industrial Pollution Control,5.88,8.4,70
Open Elective (OE),CHE 4312 : Risk and Safety Management in Industries,6.34,7.73,70
Open Elective (OE),CHM 4312 : OPEN ELECTIVE - SUSTAINABLE CHEMICAL PROCESSES AND PRODUCTS,4.23,8.46,70
Open Elective (OE),CIE 4313 : ENVIRONMENTAL MANAGEMENT,6.55,8.96,70
Open Elective (OE),CIE 4314 : OPEN ELECTIVE - GEOLOGY FOR ENGINEERS,5.75,9.56,70
Open Elective (OE),CIE 4316 : STRENGTH OF MATERIALS,3.19,8.86,43
Open Elective (OE),CSE 4456 : IOS APPLICATION DEVELOPMENT,7.12,9.61,24
Open Elective (OE),ECE 4311 : Consumer Electronics,4.72,8.66,70
Open Elective (OE),ECE 4323 : Vedic Mathematics and its Applications in Modern Technologies,4.54,8.75,70
Open Elective (OE),ELE 4311 : MATLAB for Engineers,4.66,9.49,139
Open Elective (OE),ELE 4312 : Essentials of Energy Auditing,4.06,7.39,27
Open Elective (OE),HUM 4322 : OPEN ELECTIVE - FILM STUDIES,8.6,9.74,70
Open Elective (OE),HUM 4323 : OPEN ELECTIVE - GERMAN FOR BEGINNERS,8.87,9.98,30
Open Elective (OE),"HUM 4329 - CREATIVE COMMUNICATION: ART, MEDIA, CULTURE AND IDEAS",7.16,9.38,70
Open Elective (OE),HUM 4337 : INTRODUCTION TO ENTERPRISE RISK MANAGEMENT,7.42,9.01,70
Open Elective (OE),ICE 4314 : Sensor Technology,5.14,8.93,70
Open Elective (OE),ICE 4316 : Virtual Instrumentation,4.28,8.84,28
Open Elective (OE),ICE 4318: Outdoor Leadership,7.18,9.02,25
Open Elective (OE),ICE 4319 : HIMALAYAN OUTDOOR LEADERSHIP,7.2,8.73,20
Open Elective (OE),ICE 4320 : NATURE JOURNALING,7.86,9.47,15
Open Elective (OE),IIE 4310 - OPEN ELECTIVE - MEDICAL EMERGENCY AND FIRST AID,7.61,9.49,70
Open Elective (OE),IIE 4315 : OPEN ELCTIVE - REPORTING AND WRITING,7.44,9.46,70
Open Elective (OE),IIE 4318 : OPEN ELECTIVE - MEDIA PRODUCTION TECHNIQUES,7.79,9.55,40
Open Elective (OE),IIE 4324 : OPEN ELECTIVE - YOGA,8.13,9.78,70
